08/04 11:33:51 PM | 
08/04 11:33:51 PM | Parameters:
08/04 11:33:51 PM | AUX_WEIGHT=0.4
08/04 11:33:51 PM | BATCH_SIZE=96
08/04 11:33:51 PM | CUTOUT_LENGTH=16
08/04 11:33:51 PM | DATA_PATH=./data/
08/04 11:33:51 PM | DATASET=cifar100
08/04 11:33:51 PM | DROP_PATH_PROB=0.2
08/04 11:33:51 PM | EPOCHS=600
08/04 11:33:51 PM | GENOTYPE=Genotype(normal=[[('max_pool_3x3', 0), ('max_pool_3x3', 1)], [('max_pool_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 0), ('skip_connect', 3)], [('skip_connect', 4), ('max_pool_3x3', 0)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_5x5', 1)], [('dil_conv_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 3), ('dil_conv_5x5', 0)], [('max_pool_3x3', 0), ('max_pool_3x3', 3)]], reduce_concat=range(2, 6))
08/04 11:33:51 PM | GPUS=[0]
08/04 11:33:51 PM | GRAD_CLIP=5.0
08/04 11:33:51 PM | INIT_CHANNELS=36
08/04 11:33:51 PM | LAYERS=20
08/04 11:33:51 PM | LR=0.025
08/04 11:33:51 PM | MOMENTUM=0.9
08/04 11:33:51 PM | NAME=cifar100-ignoring-sigmoid
08/04 11:33:51 PM | PATH=augments/cifar100-ignoring-sigmoid
08/04 11:33:51 PM | PRINT_FREQ=200
08/04 11:33:51 PM | SEED=2
08/04 11:33:51 PM | WEIGHT_DECAY=0.0003
08/04 11:33:51 PM | WORKERS=4
08/04 11:33:51 PM | 
08/04 11:33:51 PM | Logger is set - training start
08/04 11:33:56 PM | Model size = 2.014 MB
08/04 11:33:56 PM | Epoch 0 LR 0.024999828653092835
08/04 11:33:59 PM | Train: [  1/600] Step 000/520 Loss 7.300 Prec@(1,5) (0.0%, 4.2%)
08/04 11:35:01 PM | Train: [  1/600] Step 200/520 Loss 6.233 Prec@(1,5) (5.4%, 19.4%)
08/04 11:35:12 PM | 
08/04 11:35:12 PM | Parameters:
08/04 11:35:12 PM | AUX_WEIGHT=0.4
08/04 11:35:12 PM | BATCH_SIZE=96
08/04 11:35:12 PM | CUTOUT_LENGTH=16
08/04 11:35:12 PM | DATA_PATH=./data/
08/04 11:35:12 PM | DATASET=cifar100
08/04 11:35:12 PM | DROP_PATH_PROB=0.2
08/04 11:35:12 PM | EPOCHS=600
08/04 11:35:12 PM | GENOTYPE=Genotype(normal=[[('max_pool_3x3', 0), ('max_pool_3x3', 1)], [('max_pool_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 0), ('skip_connect', 3)], [('skip_connect', 4), ('max_pool_3x3', 0)]], normal_concat=range(2, 6), reduce=[[('max_pool_3x3', 0), ('sep_conv_5x5', 1)], [('dil_conv_3x3', 0), ('max_pool_3x3', 2)], [('max_pool_3x3', 3), ('dil_conv_5x5', 0)], [('max_pool_3x3', 0), ('max_pool_3x3', 3)]], reduce_concat=range(2, 6))
08/04 11:35:12 PM | GPUS=[0]
08/04 11:35:12 PM | GRAD_CLIP=5.0
08/04 11:35:12 PM | INIT_CHANNELS=36
08/04 11:35:12 PM | LAYERS=20
08/04 11:35:12 PM | LR=0.025
08/04 11:35:12 PM | MOMENTUM=0.9
08/04 11:35:12 PM | NAME=cifar100-ignoring-sigmoid
08/04 11:35:12 PM | PATH=augments/cifar100-ignoring-sigmoid
08/04 11:35:12 PM | PRINT_FREQ=200
08/04 11:35:12 PM | SEED=2
08/04 11:35:12 PM | WEIGHT_DECAY=0.0003
08/04 11:35:12 PM | WORKERS=4
08/04 11:35:12 PM | 
08/04 11:35:12 PM | Logger is set - training start
08/04 11:35:17 PM | Model size = 2.014 MB
08/04 11:35:17 PM | Epoch 0 LR 0.024999828653092835
08/04 11:35:19 PM | Train: [  1/600] Step 000/520 Loss 7.300 Prec@(1,5) (0.0%, 4.2%)
08/04 11:36:22 PM | Train: [  1/600] Step 200/520 Loss 6.178 Prec@(1,5) (5.4%, 19.7%)
08/04 11:37:26 PM | Train: [  1/600] Step 400/520 Loss 5.744 Prec@(1,5) (8.0%, 26.3%)
08/04 11:38:02 PM | Train: [  1/600] Step 520/520 Loss 5.590 Prec@(1,5) (9.3%, 29.1%)
08/04 11:38:02 PM | Train: [  1/600] Final Prec@1 9.2660%
08/04 11:38:03 PM | Valid: [  1/600] Step 000/104 Loss 3.721 Prec@(1,5) (14.6%, 36.5%)
08/04 11:38:28 PM | Valid: [  1/600] Step 104/104 Loss 3.610 Prec@(1,5) (14.0%, 39.3%)
08/04 11:38:28 PM | Valid: [  1/600] Final Prec@1 13.9600%
08/04 11:38:28 PM | Epoch 1 LR 0.024999314617068905
08/04 11:38:31 PM | Train: [  2/600] Step 000/520 Loss 5.133 Prec@(1,5) (16.7%, 37.5%)
08/04 11:40:13 PM | 
08/04 11:40:13 PM | Parameters:
08/04 11:40:13 PM | AUX_WEIGHT=0.4
08/04 11:40:13 PM | BATCH_SIZE=96
08/04 11:40:13 PM | CUTOUT_LENGTH=16
08/04 11:40:13 PM | DATA_PATH=./data/
08/04 11:40:13 PM | DATASET=cifar100
08/04 11:40:13 PM | DROP_PATH_PROB=0.2
08/04 11:40:13 PM | EPOCHS=600
