07/22 05:21:40 AM | 
07/22 05:21:40 AM | Parameters:
07/22 05:21:40 AM | AUX_WEIGHT=0.4
07/22 05:21:40 AM | BATCH_SIZE=96
07/22 05:21:40 AM | CUTOUT_LENGTH=16
07/22 05:21:40 AM | DATA_PATH=./data/
07/22 05:21:40 AM | DATASET=cifar100
07/22 05:21:40 AM | DROP_PATH_PROB=0.2
07/22 05:21:40 AM | EPOCHS=600
07/22 05:21:40 AM | GENOTYPE=Genotype(normal=[[('skip_connect', 0), ('sep_conv_3x3', 1)], [('skip_connect', 0), ('skip_connect', 1)], [('skip_connect', 0), ('skip_connect', 1)], [('skip_connect', 0), ('skip_connect', 1)]], normal_concat=range(2, 6), reduce=[[('avg_pool_3x3', 0), ('dil_conv_3x3', 1)], [('avg_pool_3x3', 0), ('skip_connect', 2)], [('skip_connect', 2), ('avg_pool_3x3', 0)], [('skip_connect', 2), ('skip_connect', 3)]], reduce_concat=range(2, 6))
07/22 05:21:40 AM | GPUS=[0]
07/22 05:21:40 AM | GRAD_CLIP=5.0
07/22 05:21:40 AM | INIT_CHANNELS=36
07/22 05:21:40 AM | LAYERS=20
07/22 05:21:40 AM | LR=0.025
07/22 05:21:40 AM | MOMENTUM=0.9
07/22 05:21:40 AM | NAME=cifar100
07/22 05:21:40 AM | PATH=augments/cifar100
07/22 05:21:40 AM | PRINT_FREQ=200
07/22 05:21:40 AM | SEED=2
07/22 05:21:40 AM | WEIGHT_DECAY=0.0003
07/22 05:21:40 AM | WORKERS=4
07/22 05:21:40 AM | 
07/22 05:21:40 AM | Logger is set - training start
07/22 05:21:49 AM | Model size = 2.248 MB
07/22 05:21:49 AM | Epoch 0 LR 0.024999828653092835
07/22 05:21:50 AM | Train: [  1/600] Step 000/000 Loss 6.460 Prec@(1,5) (0.0%, 11.1%)
07/22 05:21:50 AM | Train: [  1/600] Final Prec@1 0.0000%
07/22 05:21:50 AM | Valid: [  1/600] Step 000/104 Loss 4.608 Prec@(1,5) (1.0%, 4.2%)
07/22 05:21:54 AM | Valid: [  1/600] Step 104/104 Loss 4.606 Prec@(1,5) (1.0%, 5.0%)
07/22 05:21:54 AM | Valid: [  1/600] Final Prec@1 1.0000%
07/22 05:21:54 AM | Epoch 1 LR 0.024999314617068905
07/22 05:21:55 AM | Train: [  2/600] Step 000/000 Loss 6.464 Prec@(1,5) (11.1%, 11.1%)
07/22 05:21:55 AM | Train: [  2/600] Final Prec@1 11.1111%
07/22 05:21:55 AM | Valid: [  2/600] Step 000/104 Loss 4.613 Prec@(1,5) (0.0%, 4.2%)
07/22 05:27:33 AM | 
07/22 05:27:33 AM | Parameters:
07/22 05:27:33 AM | AUX_WEIGHT=0.4
07/22 05:27:33 AM | BATCH_SIZE=96
07/22 05:27:33 AM | CUTOUT_LENGTH=16
07/22 05:27:33 AM | DATA_PATH=./data/
07/22 05:27:33 AM | DATASET=cifar100
07/22 05:27:33 AM | DROP_PATH_PROB=0.2
07/22 05:27:33 AM | EPOCHS=600
07/22 05:27:33 AM | GENOTYPE=Genotype(normal=[[('skip_connect', 0), ('sep_conv_3x3', 1)], [('skip_connect', 0), ('skip_connect', 1)], [('skip_connect', 0), ('skip_connect', 1)], [('skip_connect', 0), ('skip_connect', 1)]], normal_concat=range(2, 6), reduce=[[('avg_pool_3x3', 0), ('dil_conv_3x3', 1)], [('avg_pool_3x3', 0), ('skip_connect', 2)], [('skip_connect', 2), ('avg_pool_3x3', 0)], [('skip_connect', 2), ('skip_connect', 3)]], reduce_concat=range(2, 6))
07/22 05:27:33 AM | GPUS=[0]
07/22 05:27:33 AM | GRAD_CLIP=5.0
07/22 05:27:33 AM | INIT_CHANNELS=36
07/22 05:27:33 AM | LAYERS=20
07/22 05:27:33 AM | LR=0.025
07/22 05:27:33 AM | MOMENTUM=0.9
